,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement
113,Kawasaki Z650,Kawasaki,643034,67.31,64,liquid cooled,6 speed manual,chain drive,649
114,Ninja,Kawasaki,1209967,140.13,111,liquid cooled,6 speed manual,chain drive,1043
115,Kawasaki Vulcan S,Kawasaki,640000,59.94,62.4,liquid cooled,6 speed manual,chain drive,649
116,Kawasaki Z H2,Kawasaki,2301733,197.26,137,liquid cooled,6 speed manual,chain drive,998
117,Kawasaki Z650RS,Kawasaki,692036,67.31,64,liquid cooled,6 speed manual,chain drive,649
118,Kawasaki Versys 650,Kawasaki,753951,65.7,61,liquid cooled,6 speed manual,chain drive,649
119,Kawasaki W800,Kawasaki,732773,50.95,62.9,air cooled,5 speed manual,chain drive,773
120,Kawasaki Versys 1000,Kawasaki,1219000,118.27,102,liquid cooled,6 speed manual,chain drive,1043
121,SR,Aprilia,131349,10.84,11.6,air cooled,automatic,cvt,160.03
122,SR,Aprilia,122451,9.78,9.7,air cooled,automatic,cvt,124.45
123,Aprilia Storm 125,Aprilia,102253,9.78,9.6,air cooled,automatic,cvt,124.45
124,Aprilia SXR 160,Aprilia,143872,10.84,11.6,air cooled,automatic,cvt,160.03
125,Aprilia SXR 125,Aprilia,132615,9.38,9.2,air cooled,automatic,cvt,124.45
127,Aprilia RSV4 1100 Factory,Aprilia,2369000,213.89,125,liquid cooled,6 speed manual,chain drive,1099
128,Aprilia Tuono Factory,Aprilia,2066000,172.58,122,liquid cooled,6 speed manual,chain drive,1077
130,Benelli Imperiale 400,Benelli,234886,20.7,29,air cooled,5 speed manual,chain drive,374
131,Benelli TRK 251,Benelli,298977,25.47,21.2,liquid cooled,6 speed manual,chain drive,249
132,Benelli 502C,Benelli,579955,46.8,46,liquid cooled,6 speed manual,chain drive,500
133,Benelli TRK 502X,Benelli,629954,46.85,46,liquid cooled,6 speed manual,chain drive,500
134,Benelli TRK 502,Benelli,569881,46.8,46,liquid cooled,6 speed manual,chain drive,500
135,Benelli Leoncino 500,Benelli,554876,46.8,46,liquid cooled,6 speed manual,chain drive,500
153,CFMoto 300NK,CFMoto,229000,27.49,25,liquid cooled,6 speed manual,chain drive,292.4
154,CFMoto 650NK,CFMoto,429000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649.3
155,CFMoto 650GT,CFMoto,559000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649.3
156,CFMoto 650MT,CFMoto,529000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649
157,Ducati Panigale V4,Ducati,2741000,212.5,123.6,liquid cooled,6 speed manual,chain drive,1103
158,Ducati SuperSport,Ducati,1575000,108.62,93,liquid cooled,6 speed manual,chain drive,937
159,Ducati Monster BS6,Ducati,1249000,109.96,93,liquid cooled,6 speed manual,chain drive,937
160,Scrambler,Ducati,939000,71.87,66.2,air cooled,6 speed manual,chain drive,803
161,Ducati Streetfighter V4,Ducati,2215000,205.17,123,liquid cooled,6 speed manual,chain drive,1103
162,Ducati Panigale V2,Ducati,2026450,152.8,104,liquid cooled,6 speed manual,chain drive,955
163,Ducati XDiavel,Ducati,2120000,160,127.4,liquid cooled,6 speed manual,chain drive,1262
164,Ducati Streetfighter V2,Ducati,1810000,150.59,101.4,liquid cooled,6 speed manual,chain drive,955
165,Ducati Diavel 1260,Ducati,2149000,159.58,129,liquid cooled,6 speed manual,chain drive,1262
166,Scrambler,Ducati,1169000,71.87,66.2,air cooled,6 speed manual,chain drive,803
167,Ducati Hypermotard 950,Ducati,1560000,112.4,96,liquid cooled,6 speed manual,chain drive,937
168,Ducati Multistrada V4,Ducati,2148000,167.62,125,liquid cooled,6 speed manual,chain drive,1158
169,Scrambler,Ducati,1340000,84.48,88,air cooled,6 speed manual,chain drive,1079
170,Ducati Multistrada V2,Ducati,1605000,111.3,96,liquid cooled,6 speed manual,chain drive,937
171,Scrambler,Ducati,1199000,71.87,66.2,air cooled,6 speed manual,chain drive,803
172,Ducati Scrambler Desert Sled,Ducati,1259000,71.87,66.2,air cooled,6 speed manual,chain drive,803
173,Husqvarna Svartpilen 250,Husqvarna,217632,29.63,24,liquid cooled,6 speed manual,chain drive,248.76
174,Husqvarna Vitpilen 250,Husqvarna,217074,29.63,24,liquid cooled,6 speed manual,chain drive,248.76
175,Triumph Rocket 3,Triumph,2019312,165,221,water cooled,6 speed manual,shaft drive,2458
176,Triumph Trident 660,Triumph,758000,80,64,liquid cooled,6 speed manual,chain drive,660
177,Triumph Speed Triple 1200 RS,Triumph,1795000,177.5,125,liquid cooled,6 speed manual,chain drive,1160
178,Triumph Tiger 900,Triumph,1399865,93.9,87,liquid cooled,6 speed manual,chain drive,888
179,Bonneville,Triumph,1285000,76.9,106,liquid cooled,6 speed manual,chain drive,1200
180,Triumph Speed Twin 900,Triumph,879006,64.1,80,liquid cooled,5 speed manual,chain drive,900
181,Triumph Scrambler 900,Triumph,989006,64.1,80,liquid cooled,5 speed manual,chain drive,900
182,Triumph Speed Twin,Triumph,1122000,98.6,112,liquid cooled,6 speed manual,chain drive,1200
183,Bonneville,Triumph,1139000,78.9,105,liquid cooled,6 speed manual,chain drive,1200
184,Bonneville,Triumph,1285000,76.9,106,liquid cooled,6 speed manual,chain drive,1200
185,Triumph Bonneville T100,Triumph,1004000,64.1,80,liquid cooled,5 speed manual,chain drive,900
186,Triumph Tiger 850 Sport,Triumph,1195000,84,82,liquid cooled,6 speed manual,chain drive,888
187,Vespa ZX 125,Vespa,116135,9.78,9.6,air cooled,automatic,cvt,124.45
188,Vespa SXL 125,Vespa,134313,9.78,9.6,air cooled,automatic,cvt,124.45
189,Vespa SXL 150,Vespa,148261,10.32,10.6,air cooled,automatic,cvt,149.5
190,Vespa VXL 125,Vespa,130438,9.78,9.6,air cooled,automatic,cvt,124.45
191,Vespa VXL 150,Vespa,143895,10.32,10.6,air cooled,automatic,cvt,149.5
192,Vespa Elegante 150,Vespa,155927,10.32,10.6,air cooled,automatic,cvt,149.5
